SKU_ID,Lag_Period,Model,Date,Actual,Forecast,CI_Lower,CI_Upper,Error,Abs_Error
1,1,Prophet,2024-05-31,785.1561058,940.9233386380608,877.4680851901455,1006.7510645236374,-155.76723283806086,155.76723283806086
2,1,Prophet,2024-05-31,817.3517658999999,922.690689591187,840.6203690272263,998.1368721916186,-105.33892369118712,105.33892369118712
3,1,Prophet,2024-05-31,605.121396,713.3082078015509,647.5571672797481,777.8960307150824,-108.1868118015509,108.1868118015509
4,1,Prophet,2024-05-31,898.7700419,1053.407570101152,968.3765614556845,1143.2144848551327,-154.637528201152,154.637528201152
5,1,Prophet,2024-05-31,789.5399907,964.5922445585172,901.8224040030459,1032.151589968527,-175.05225385851725,175.05225385851725
6,1,Prophet,2024-05-31,0.0,-55.801980750687775,-106.13149757644796,-2.9012582358634544,55.801980750687775,55.801980750687775
7,1,Prophet,2024-05-31,0.0,-24.350617348727038,-52.20936414437188,3.1952898071925406,24.350617348727038,24.350617348727038
8,1,Prophet,2024-05-31,772.3285901,990.7861978432392,918.2392854585028,1063.9740539221416,-218.45760774323912,218.45760774323912
9,1,Prophet,2024-05-31,763.3987228999999,938.1231139129732,865.5023604027315,1005.8360880372987,-174.72439101297323,174.72439101297323
10,1,Prophet,2024-05-31,100.46723784,170.2728817760357,122.80319756814389,219.67373415678674,-69.8056439360357,69.8056439360357
1,3,Prophet,2024-03-31,1068.084289,943.6935068868034,876.6156567511101,1007.4767870521661,124.39078211319645,124.39078211319645
1,3,Prophet,2024-04-30,819.7981714,831.5418653865673,771.4909189539668,899.755138701198,-11.743693986567337,11.743693986567337
1,3,Prophet,2024-05-31,785.1561058,941.2097666256547,876.6703923539897,1009.5182390825689,-156.05366082565467,156.05366082565467
2,3,Prophet,2024-03-31,971.7714255,823.1538290293311,733.9616013337546,905.9270601861874,148.6175964706689,148.6175964706689
2,3,Prophet,2024-04-30,763.6624749,779.3668163591498,696.2664630915158,853.0883666633904,-15.70434145914976,15.70434145914976
2,3,Prophet,2024-05-31,817.3517658999999,922.9917117284025,845.0864333486024,1003.8825182024285,-105.63994582840257,105.63994582840257
3,3,Prophet,2024-03-31,823.5144856000001,724.0094014609415,654.8065852811266,791.1451648386436,99.50508413905857,99.50508413905857
3,3,Prophet,2024-04-30,603.3620255000001,615.1382033117667,551.272632186026,685.6232924729767,-11.776177811766615,11.776177811766615
3,3,Prophet,2024-05-31,605.121396,713.1349532211526,644.2620175498026,774.0071929011015,-108.01355722115261,108.01355722115261
4,3,Prophet,2024-03-31,1001.0203061,776.5144927140308,698.7389192557835,859.8597453136928,224.5058133859692,224.5058133859692
4,3,Prophet,2024-04-30,872.4965758000001,853.7716687206638,776.5172041718434,938.7339710509013,18.724907079336276,18.724907079336276
4,3,Prophet,2024-05-31,898.7700419,1054.4782622332223,971.6454501964993,1138.2734368495223,-155.70822033322224,155.70822033322224
5,3,Prophet,2024-03-31,962.9258588,843.5642835818024,782.2631647196018,910.2439760723207,119.36157521819757,119.36157521819757
5,3,Prophet,2024-04-30,784.1037487,772.3890150911205,707.3510947400297,836.5175054874887,11.714733608879442,11.714733608879442
5,3,Prophet,2024-05-31,789.5399907,964.9437480701708,904.9460258362853,1026.1502728808325,-175.40375737017087,175.40375737017087
6,3,Prophet,2024-03-31,0.0,-74.2475265440797,-121.98073359922292,-25.70633948325254,74.2475265440797,74.2475265440797
6,3,Prophet,2024-04-30,0.0,-175.10191359422805,-220.75366546283513,-129.78703592311246,175.10191359422805,175.10191359422805
6,3,Prophet,2024-05-31,0.0,-61.05590257897647,-112.03541992303887,-11.891953398416033,61.05590257897647,61.05590257897647
7,3,Prophet,2024-03-31,122.21253328,118.6279921567095,90.35839501936714,148.06207874848758,3.5845411232905064,3.5845411232905064
7,3,Prophet,2024-04-30,19.764062374,7.79399900833294,-18.984422190287056,37.166792434357866,11.970063365667063,11.970063365667063
7,3,Prophet,2024-05-31,0.0,-25.918327562555525,-53.15185421078499,3.449359615816033,25.918327562555525,25.918327562555525
8,3,Prophet,2024-03-31,931.0711549,785.8242305723148,711.8755687469474,854.4617495140077,145.24692432768518,145.24692432768518
8,3,Prophet,2024-04-30,750.400746,867.8265647994294,797.3896547171506,938.8517844483874,-117.42581879942941,117.42581879942941
8,3,Prophet,2024-05-31,772.3285901,989.0244745888929,921.7418255823188,1061.5077264488782,-216.69588448889283,216.69588448889283
9,3,Prophet,2024-03-31,1166.2357165,1028.1275129108246,957.6283817600365,1096.8146192430404,138.10820358917545,138.10820358917545
9,3,Prophet,2024-04-30,875.3614095,845.0191131348798,777.8328984321745,913.7332901661665,30.342296365120205,30.342296365120205
9,3,Prophet,2024-05-31,763.3987228999999,938.5125691649127,867.3986235316612,1003.9451706860848,-175.1138462649128,175.1138462649128
10,3,Prophet,2024-03-31,13.3629899,-89.54707578320534,-143.2250605313106,-38.675318766676995,102.91006568320535,102.91006568320535
10,3,Prophet,2024-04-30,15.935133616,-5.756358806668084,-55.61692823177413,43.670408344155746,21.691492422668084,21.691492422668084
10,3,Prophet,2024-05-31,100.46723784,162.7818860744943,112.95050124159737,212.12291177059774,-62.314648234494314,62.314648234494314
1,6,Prophet,2023-12-31,852.1713341,780.4679257959554,717.0044192767693,847.9841904358772,71.70340830404461,71.70340830404461
1,6,Prophet,2024-01-31,721.7800454000001,778.629733500666,711.4497478826019,845.1762615493856,-56.84968810066596,56.84968810066596
1,6,Prophet,2024-02-29,805.6296277,792.7703059260404,725.8859465499604,859.1708813080335,12.859321773959664,12.859321773959664
1,6,Prophet,2024-03-31,1068.084289,946.1940137848842,878.4626706990966,1011.064323837703,121.89027521511571,121.89027521511571
1,6,Prophet,2024-04-30,819.7981714,834.2699638277628,770.4455710744086,900.8073384979093,-14.471792427762807,14.471792427762807
1,6,Prophet,2024-05-31,785.1561058,942.5238873011878,873.8471741842316,1010.349052012576,-157.36778150118778,157.36778150118778
2,6,Prophet,2023-12-31,1038.023498,878.2305044290374,793.3483496887201,956.8592271970199,159.7929935709626,159.7929935709626
2,6,Prophet,2024-01-31,716.257886,855.2227241837724,776.8812063357607,926.4271679570862,-138.96483818377237,138.96483818377237
2,6,Prophet,2024-02-29,813.968407,750.9999334115693,675.3479640784303,835.1663523645628,62.9684735884307,62.9684735884307
2,6,Prophet,2024-03-31,971.7714255,830.1991252358229,751.503330249141,911.0943599530704,141.5723002641771,141.5723002641771
2,6,Prophet,2024-04-30,763.6624749,785.2269530814751,710.9332136411226,861.6327500299453,-21.564478181475124,21.564478181475124
2,6,Prophet,2024-05-31,817.3517658999999,925.6725340009579,851.5025283123479,1003.6014625011123,-108.32076810095793,108.32076810095793
3,6,Prophet,2023-12-31,1151.7833992,1075.270903357497,1009.6853457697725,1145.926463407603,76.51249584250309,76.51249584250309
3,6,Prophet,2024-01-31,845.1081423,918.5290829521363,854.5385969626973,978.9556017507118,-73.42094065213621,73.42094065213621
3,6,Prophet,2024-02-29,750.5984798,759.41511436286,688.4356953083728,830.2963843927733,-8.816634562860031,8.816634562860031
3,6,Prophet,2024-03-31,823.5144856000001,727.0628341590105,657.50061098174,792.6210211766956,96.45165144098951,96.45165144098951
3,6,Prophet,2024-04-30,603.3620255000001,618.1283727908905,546.622771124563,686.7862591540829,-14.766347290890394,14.766347290890394
3,6,Prophet,2024-05-31,605.121396,715.4820020358795,648.1824927922163,779.9633726771998,-110.36060603587953,110.36060603587953
4,6,Prophet,2023-12-31,1044.0805252,919.6464864079246,831.7980277707377,1001.991355962223,124.4340387920754,124.4340387920754
4,6,Prophet,2024-01-31,709.6264595,796.1174906792847,708.1397036418383,880.4447030366267,-86.49103117928473,86.49103117928473
4,6,Prophet,2024-02-29,693.8584719,732.5042024630018,643.0588511332089,817.1812751223032,-38.645730563001734,38.645730563001734
4,6,Prophet,2024-03-31,1001.0203061,776.9662858325726,691.6941954032483,865.3969354790968,224.0540202674274,224.0540202674274
4,6,Prophet,2024-04-30,872.4965758000001,855.7947617315799,774.7191717850986,940.2859554081415,16.701814068420163,16.701814068420163
4,6,Prophet,2024-05-31,898.7700419,1056.9674535310883,979.9427342809768,1136.1965018978415,-158.19741163108824,158.19741163108824
5,6,Prophet,2023-12-31,944.3963242,880.9968396159302,811.1092184731642,944.8993065573846,63.399484584069796,63.399484584069796
5,6,Prophet,2024-01-31,747.7729711,834.465027464143,771.1925121198846,896.5978236832896,-86.69205636414301,86.69205636414301
5,6,Prophet,2024-02-29,769.6011282,789.4092137386466,722.7236297841521,849.3900948226163,-19.80808553864665,19.80808553864665
5,6,Prophet,2024-03-31,962.9258588,848.3727609494315,782.8023357999385,913.106239977107,114.55309785056852,114.55309785056852
5,6,Prophet,2024-04-30,784.1037487,776.1849309373197,712.0464577018698,842.263285791936,7.918817762680305,7.918817762680305
5,6,Prophet,2024-05-31,789.5399907,968.5195334638497,907.339480949324,1035.2193640814558,-178.97954276384974,178.97954276384974
6,6,Prophet,2023-12-31,151.659987179,260.2004025864004,213.917985366806,304.90394611762866,-108.54041540740039,108.54041540740039
6,6,Prophet,2024-01-31,17.441977154,68.22178305523221,20.98971338220369,110.76838688150573,-50.77980590123221,50.77980590123221
6,6,Prophet,2024-02-29,30.602927432999998,-61.464065412745796,-107.39007570393483,-16.631677689905935,92.0669928457458,92.0669928457458
6,6,Prophet,2024-03-31,0.0,-53.71970185535874,-95.8227459102155,-9.39512635265289,53.71970185535874,53.71970185535874
6,6,Prophet,2024-04-30,0.0,-160.48439844440804,-206.8218349759949,-118.5862390524493,160.48439844440804,160.48439844440804
6,6,Prophet,2024-05-31,0.0,-52.045915964130266,-97.90505638549467,-6.421681379722809,52.045915964130266,52.045915964130266
7,6,Prophet,2023-12-31,1.411409504,10.399532633038113,-18.106026408587958,40.200548913626776,-8.988123129038113,8.988123129038113
7,6,Prophet,2024-01-31,24.867678659,11.35027547195913,-18.378046218819485,40.932186792724174,13.51740318704087,13.51740318704087
7,6,Prophet,2024-02-29,105.09981122,74.45597004073022,43.14227451061169,102.96964085594422,30.643841179269785,30.643841179269785
7,6,Prophet,2024-03-31,122.21253328,116.62812101636592,86.65663892779457,147.09022737238374,5.5844122636340785,5.5844122636340785
7,6,Prophet,2024-04-30,19.764062374,4.981548925680296,-22.890724637105347,34.742263106853635,14.782513448319705,14.782513448319705
7,6,Prophet,2024-05-31,0.0,-29.521721310544855,-59.229982514855166,1.071793397272662,29.521721310544855,29.521721310544855
8,6,Prophet,2023-12-31,975.1431503,843.5401113929494,772.9877098238474,916.4233107369627,131.60303890705063,131.60303890705063
8,6,Prophet,2024-01-31,775.4086244,854.8492931499553,783.7697465372714,926.4174488667239,-79.44066874995531,79.44066874995531
8,6,Prophet,2024-02-29,758.2221809,774.7696533821207,702.3142759831604,842.2719470564651,-16.547472482120725,16.547472482120725
8,6,Prophet,2024-03-31,931.0711549,785.7697488237658,714.7825799094461,851.9017308418308,145.30140607623423,145.30140607623423
8,6,Prophet,2024-04-30,750.400746,868.9910112918765,798.8630976555305,939.3304241550994,-118.59026529187645,118.59026529187645
8,6,Prophet,2024-05-31,772.3285901,990.2377685130543,924.2499366223152,1064.190321936168,-217.9091784130543,217.9091784130543
9,6,Prophet,2023-12-31,1120.8301724,1027.7897500327017,952.3186158098123,1097.6028748875324,93.04042236729833,93.04042236729833
9,6,Prophet,2024-01-31,966.8872371,1021.236068468888,952.7437508238185,1095.0825898973296,-54.348831368888,54.348831368888
9,6,Prophet,2024-02-29,979.225859,961.8792804070239,895.3642044913983,1028.7117503805887,17.34657859297613,17.34657859297613
9,6,Prophet,2024-03-31,1166.2357165,1028.5873229861102,961.1358697639439,1095.8660048999195,137.6483935138899,137.6483935138899
9,6,Prophet,2024-04-30,875.3614095,845.8799261565609,778.4186581720076,917.8945502594049,29.481483343439095,29.481483343439095
9,6,Prophet,2024-05-31,763.3987228999999,939.0294804878383,870.960690806423,1012.6183562707423,-175.6307575878384,175.6307575878384
10,6,Prophet,2023-12-31,165.57383852,137.14261810862405,87.76807993044764,184.24062637023607,28.43122041137596,28.43122041137596
10,6,Prophet,2024-01-31,29.44887271,30.56735811758164,-16.07824822845304,82.252790936294,-1.118485407581641,1.118485407581641
10,6,Prophet,2024-02-29,5.453175017,-121.25798354620424,-167.24537074451626,-75.9464538310131,126.71115856320425,126.71115856320425
10,6,Prophet,2024-03-31,13.3629899,-88.26922880224393,-141.1733634033928,-38.20810216900534,101.63221870224393,101.63221870224393
10,6,Prophet,2024-04-30,15.935133616,-6.44888024758089,-58.39258794226733,42.46100708599518,22.38401386358089,22.38401386358089
10,6,Prophet,2024-05-31,100.46723784,159.29829323791043,107.47512149980301,210.29384166417782,-58.83105539791043,58.83105539791043
1,12,Prophet,2023-07-31,843.4973645,767.2972603524482,703.087939720768,830.629769335628,76.20010414755177,76.20010414755177
1,12,Prophet,2023-08-31,751.9935418,770.9027097582369,698.4029165638996,833.5425674292468,-18.909167958236935,18.909167958236935
1,12,Prophet,2023-09-30,819.8872408,911.9521547872687,846.286490529456,980.6696476908746,-92.06491398726871,92.06491398726871
1,12,Prophet,2023-10-31,1005.9880907,909.1273832120776,846.2625058043143,979.3313193384598,96.86070748792247,96.86070748792247
1,12,Prophet,2023-11-30,731.2340999,731.3139850159965,664.6075628378541,792.9915449219839,-0.07988511599648973,0.07988511599648973
1,12,Prophet,2023-12-31,852.1713341,778.7551355218158,714.2829620461463,845.5400906581941,73.41619857818421,73.41619857818421
1,12,Prophet,2024-01-31,721.7800454000001,775.7854068760151,705.5724607776657,839.375812017333,-54.00536147601508,54.00536147601508
1,12,Prophet,2024-02-29,805.6296277,788.550519811223,720.3904610965311,858.1875385602782,17.079107888777003,17.079107888777003
1,12,Prophet,2024-03-31,1068.084289,942.1032980162662,870.4437044198067,1004.959486469688,125.9809909837337,125.9809909837337
1,12,Prophet,2024-04-30,819.7981714,830.0616844830797,764.1729325932637,895.898931902335,-10.263513083079715,10.263513083079715
1,12,Prophet,2024-05-31,785.1561058,938.0120590413906,875.5450816669468,1003.1723584444549,-152.85595324139058,152.85595324139058
1,12,Prophet,2024-06-30,920.0695912,729.4227463006245,667.2615591196304,791.8991037470975,190.64684489937554,190.64684489937554
2,12,Prophet,2023-07-31,989.9108613999999,789.8878079199241,718.6086819875247,864.0161677341468,200.02305348007587,200.02305348007587
2,12,Prophet,2023-08-31,708.4571063000001,750.0217085725145,673.8002286449338,824.3986245561766,-41.564602272514435,41.564602272514435
2,12,Prophet,2023-09-30,677.4273785,812.4859808765556,737.2279421075542,880.5859036651116,-135.05860237655554,135.05860237655554
2,12,Prophet,2023-10-31,959.0311681000001,824.2999597540521,753.6076188066286,898.0312836344619,134.73120834594795,134.73120834594795
2,12,Prophet,2023-11-30,699.165738,696.0886522367434,624.4729726110213,770.7556145924528,3.077085763256605,3.077085763256605
2,12,Prophet,2023-12-31,1038.023498,870.4632609288694,795.4221852078662,941.7509418028874,167.5602370711306,167.5602370711306
2,12,Prophet,2024-01-31,716.257886,843.9078433457546,770.4793660806009,915.6720728138491,-127.64995734575461,127.64995734575461
2,12,Prophet,2024-02-29,813.968407,740.6983003253123,671.6329880756789,813.0817978449259,73.27010667468767,73.27010667468767
2,12,Prophet,2024-03-31,971.7714255,818.6880178400382,743.6980088781415,892.4015026416026,153.08340765996172,153.08340765996172
2,12,Prophet,2024-04-30,763.6624749,771.6481146365822,698.9441258113898,843.9594640839252,-7.985639736582243,7.985639736582243
2,12,Prophet,2024-05-31,817.3517658999999,910.6066682388258,844.223457214314,981.5433187286536,-93.2549023388259,93.2549023388259
2,12,Prophet,2024-06-30,924.7738896,823.663399395833,751.1191310321457,897.401770834629,101.11049020416692,101.11049020416692
3,12,Prophet,2023-07-31,811.0266978999999,719.2589959658842,650.2593512203198,784.6187728785252,91.76770193411573,91.76770193411573
3,12,Prophet,2023-08-31,774.8945021,777.0440957403739,709.0128911491103,840.3282956828268,-2.1495936403739506,2.1495936403739506
