SKU_ID,Lag_Period,Model,Damped,Train_Months,Test_Months,Train_End,Forecast_Start,Forecast_End,Total_Periods,Zero_Sales_Count,Zero_Sales_%,Mean_Actual,Mean_Forecast,MAE,RMSE,Bias_%,Service_Level_%,SMAPE,Tracking_Signal
1,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,871.04,85.888,85.888,10.939,100.0,10.372,1.0
2,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,862.37,45.022,45.022,5.508,100.0,5.361,1.0
3,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,667.62,62.501,62.501,10.329,100.0,9.822,1.0
4,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,975.44,76.667,76.667,8.53,100.0,8.181,1.0
5,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,893.68,104.143,104.143,13.19,100.0,12.374,1.0
6,1,Holt-Winters,True,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,
7,1,Holt-Winters,True,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,
8,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,907.1,134.773,134.773,17.45,100.0,16.05,1.0
9,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,875.53,112.127,112.127,14.688,100.0,13.683,1.0
10,1,Holt-Winters,False,64,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,108.68,8.208,8.208,8.17,100.0,7.849,1.0
1,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,879.19,112.25,123.873,-1.327,66.67,12.348,-0.316
2,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,831.82,85.103,99.182,-2.246,66.67,9.902,-0.674
3,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,682.1,74.729,77.725,0.704,66.67,10.806,0.191
4,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,883.5,107.396,135.255,-4.393,66.67,11.954,-1.134
5,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,845.52,853.34,89.893,95.487,0.925,66.67,10.445,0.261
6,3,Holt-Winters,True,62,3,2024-03,2024-03,2024-05,3,3,100.0,0.0,0.0,0.0,0.0,,100.0,,
7,3,Holt-Winters,True,62,3,2024-03,2024-03,2024-05,3,1,33.33,47.33,55.46,8.138,9.987,17.196,100.0,29.187,3.0
8,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,817.93,864.02,121.923,122.275,5.634,66.67,14.518,1.134
9,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,935.0,937.63,98.532,106.717,0.282,66.67,10.41,0.08
10,3,Holt-Winters,False,62,3,2024-03,2024-03,2024-05,3,0,0.0,43.26,35.23,11.114,12.049,-18.55,33.33,130.068,-2.166
1,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,842.1,830.35,124.648,152.305,-1.396,50.0,14.445,-0.566
2,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,853.51,819.74,114.976,136.428,-3.956,50.0,13.411,-1.762
3,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,796.58,796.19,91.015,103.365,-0.049,66.67,10.929,-0.026
4,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,869.98,838.89,111.464,135.958,-3.573,66.67,12.744,-1.673
5,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,833.06,843.3,92.111,100.5,1.23,66.67,10.841,0.667
6,6,Holt-Winters,True,59,6,2023-12,2023-12,2024-05,6,3,50.0,33.28,49.06,25.972,41.781,47.383,83.33,121.596,3.643
7,6,Holt-Winters,True,59,6,2023-12,2023-12,2024-05,6,1,16.67,45.56,50.11,11.886,15.405,9.997,66.67,69.435,2.299
8,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,827.1,846.93,116.664,123.601,2.398,66.67,13.784,1.02
9,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,978.66,962.48,105.82,126.278,-1.653,33.33,10.704,-0.917
10,6,Holt-Winters,False,59,6,2023-12,2023-12,2024-05,6,0,0.0,55.04,50.42,22.175,29.559,-8.399,33.33,121.068,-1.251
1,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,843.77,824.59,90.968,101.213,-2.274,58.33,10.825,-2.531
2,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,839.98,804.91,114.621,132.329,-4.175,50.0,13.631,-3.672
3,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,842.87,834.62,93.366,100.332,-0.979,58.33,11.071,-1.06
4,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,861.15,825.66,96.941,116.712,-4.12,50.0,11.393,-4.392
5,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,840.95,821.85,91.349,103.998,-2.272,58.33,10.737,-2.51
6,12,Holt-Winters,True,54,12,2023-06,2023-07,2024-06,12,4,33.33,102.97,124.96,37.472,53.944,21.352,75.0,63.701,7.041
7,12,Holt-Winters,True,54,12,2023-06,2023-07,2024-06,12,2,16.67,59.27,62.11,10.719,14.338,4.788,58.33,59.774,3.177
8,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,835.6,831.74,108.511,116.75,-0.461,58.33,12.835,-0.426
9,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,849.24,830.27,91.088,103.723,-2.233,58.33,10.838,-2.499
10,12,Holt-Winters,False,54,12,2023-06,2023-07,2024-06,12,0,0.0,58.4,41.27,25.294,32.397,-29.326,16.67,98.309,-8.125
