SKU_ID,Lag_Period,Model,Date,Actual,Forecast,Error,Abs_Error
1,1,XGBoost,2024-05-31,785.1561058,906.07196,-120.91585464921877,120.91585464921877
2,1,XGBoost,2024-05-31,817.3517658999999,898.7587,-81.40696212734383,81.40696212734383
3,1,XGBoost,2024-05-31,605.121396,624.87946,-19.758059566406246,19.758059566406246
4,1,XGBoost,2024-05-31,898.7700419,791.7977,106.97231240781252,106.97231240781252
5,1,XGBoost,2024-05-31,789.5399907,749.9704,39.569592750781226,39.569592750781226
6,1,XGBoost,2024-05-31,0.0,0.0,0.0,0.0
7,1,XGBoost,2024-05-31,0.0,5.1523924,-5.152392387390137,5.152392387390137
8,1,XGBoost,2024-05-31,772.3285901,802.44,-30.111412341406208,30.111412341406208
9,1,XGBoost,2024-05-31,763.3987228999999,855.2271,-91.82838891640631,91.82838891640631
10,1,XGBoost,2024-05-31,100.46723784,80.58555,19.88168943912109,19.88168943912109
1,3,XGBoost,2024-03-31,1068.084289,908.1551,159.92919866796865,159.92919866796865
1,3,XGBoost,2024-04-30,819.7981714,720.1763,99.62190186875,99.62190186875
1,3,XGBoost,2024-05-31,785.1561058,830.4733,-45.31722183671877,45.31722183671877
2,3,XGBoost,2024-03-31,971.7714255,713.3247,258.44671846874996,258.44671846874996
2,3,XGBoost,2024-04-30,763.6624749,692.5538,71.10870292734376,71.10870292734376
2,3,XGBoost,2024-05-31,817.3517658999999,713.71625,103.63551834140617,103.63551834140617
3,3,XGBoost,2024-03-31,823.5144856000001,769.20135,54.31313061953131,54.31313061953131
3,3,XGBoost,2024-04-30,603.3620255000001,639.7257,-36.36368250781243,36.36368250781243
3,3,XGBoost,2024-05-31,605.121396,626.1741,-21.052676265624996,21.052676265624996
4,3,XGBoost,2024-03-31,1001.0203061,841.8956,159.12467621718747,159.12467621718747
4,3,XGBoost,2024-04-30,872.4965758000001,894.7481,-22.251532110156177,22.251532110156177
4,3,XGBoost,2024-05-31,898.7700419,790.89166,107.87837930234377,107.87837930234377
5,3,XGBoost,2024-03-31,962.9258588,830.4042,132.52168399531251,132.52168399531251
5,3,XGBoost,2024-04-30,784.1037487,758.94324,25.160511395312483,25.160511395312483
5,3,XGBoost,2024-05-31,789.5399907,721.91095,67.62904099296873,67.62904099296873
6,3,XGBoost,2024-03-31,0.0,15.444728,-15.444727897644043,15.444727897644043
6,3,XGBoost,2024-04-30,0.0,0.0,0.0,0.0
6,3,XGBoost,2024-05-31,0.0,1.8528023,-1.8528022766113281,1.8528022766113281
7,3,XGBoost,2024-03-31,122.21253328,104.19891,18.013619705781252,18.013619705781252
7,3,XGBoost,2024-04-30,19.764062374,82.77606,-63.011999637718745,63.011999637718745
7,3,XGBoost,2024-05-31,0.0,9.204921,-9.204920768737793,9.204920768737793
8,3,XGBoost,2024-03-31,931.0711549,790.2285,140.842639275,140.842639275
