SKU_ID,Lag_Period,Model,Date,Actual,Forecast,Error,Abs_Error
1,1,LightGBM,2024-05-31,785.1561058,772.6035269752722,12.552578824727789,12.552578824727789
2,1,LightGBM,2024-05-31,817.3517658999999,796.0903929589983,21.261372941001582,21.261372941001582
3,1,LightGBM,2024-05-31,605.121396,598.9584232097486,6.162972790251388,6.162972790251388
4,1,LightGBM,2024-05-31,898.7700419,790.7585013962113,108.01154050378875,108.01154050378875
5,1,LightGBM,2024-05-31,789.5399907,797.6949668956591,-8.154976195659174,8.154976195659174
6,1,LightGBM,2024-05-31,0.0,41.450830880189706,-41.450830880189706,41.450830880189706
7,1,LightGBM,2024-05-31,0.0,74.57718605945583,-74.57718605945583,74.57718605945583
8,1,LightGBM,2024-05-31,772.3285901,803.2125838719898,-30.883993771989708,30.883993771989708
9,1,LightGBM,2024-05-31,763.3987228999999,725.0207900369106,38.37793286308931,38.37793286308931
10,1,LightGBM,2024-05-31,100.46723784,124.08493428572837,-23.61769644572837,23.61769644572837
1,3,LightGBM,2024-03-31,1068.084289,828.2707489572385,239.81354004276136,239.81354004276136
1,3,LightGBM,2024-04-30,819.7981714,827.7729435425338,-7.974772142533766,7.974772142533766
1,3,LightGBM,2024-05-31,785.1561058,789.2329277048142,-4.07682190481421,4.07682190481421
2,3,LightGBM,2024-03-31,971.7714255,772.3002326823631,199.47119281763685,199.47119281763685
2,3,LightGBM,2024-04-30,763.6624749,772.3002326823631,-8.63775778236311,8.63775778236311
2,3,LightGBM,2024-05-31,817.3517658999999,772.3002326823631,45.0515332176368,45.0515332176368
3,3,LightGBM,2024-03-31,823.5144856000001,754.5582451380761,68.95624046192393,68.95624046192393
3,3,LightGBM,2024-04-30,603.3620255000001,664.6080560949267,-61.24603059492665,61.24603059492665
3,3,LightGBM,2024-05-31,605.121396,584.8377022446608,20.283693755339186,20.283693755339186
4,3,LightGBM,2024-03-31,1001.0203061,784.69143953963,216.32886656037,216.32886656037
4,3,LightGBM,2024-04-30,872.4965758000001,792.0812427179684,80.41533308203168,80.41533308203168
4,3,LightGBM,2024-05-31,898.7700419,776.245378930282,122.52466296971807,122.52466296971807
5,3,LightGBM,2024-03-31,962.9258588,784.7923041200988,178.13355467990118,178.13355467990118
5,3,LightGBM,2024-04-30,784.1037487,784.7923041200988,-0.6885554200988508,0.6885554200988508
5,3,LightGBM,2024-05-31,789.5399907,784.7923041200988,4.747686579901142,4.747686579901142
6,3,LightGBM,2024-03-31,0.0,10.973858293139534,-10.973858293139534,10.973858293139534
6,3,LightGBM,2024-04-30,0.0,22.32179803907748,-22.32179803907748,22.32179803907748
6,3,LightGBM,2024-05-31,0.0,37.98575638547847,-37.98575638547847,37.98575638547847
7,3,LightGBM,2024-03-31,122.21253328,135.0228658842118,-12.810332604211794,12.810332604211794
7,3,LightGBM,2024-04-30,19.764062374,82.50251887059034,-62.73845649659033,62.73845649659033
7,3,LightGBM,2024-05-31,0.0,87.349368641387,-87.349368641387,87.349368641387
8,3,LightGBM,2024-03-31,931.0711549,768.7426128040224,162.32854209597758,162.32854209597758
8,3,LightGBM,2024-04-30,750.400746,774.7164851892838,-24.315739189283818,24.315739189283818
8,3,LightGBM,2024-05-31,772.3285901,774.7164851892838,-2.387895089283802,2.387895089283802
9,3,LightGBM,2024-03-31,1166.2357165,845.9965789227434,320.23913757725666,320.23913757725666
9,3,LightGBM,2024-04-30,875.3614095,795.9178529113339,79.44355658866618,79.44355658866618
9,3,LightGBM,2024-05-31,763.3987228999999,731.3955482723317,32.00317462766827,32.00317462766827
10,3,LightGBM,2024-03-31,13.3629899,106.70206000323482,-93.33907010323482,93.33907010323482
10,3,LightGBM,2024-04-30,15.935133616,131.48223262793644,-115.54709901193644,115.54709901193644
10,3,LightGBM,2024-05-31,100.46723784,135.18486083331135,-34.71762299331135,34.71762299331135
1,6,LightGBM,2023-12-31,852.1713341,707.0127845808737,145.15854951912627,145.15854951912627
1,6,LightGBM,2024-01-31,721.7800454000001,756.8647712245378,-35.08472582453771,35.08472582453771
1,6,LightGBM,2024-02-29,805.6296277,756.8647712245378,48.76485647546224,48.76485647546224
1,6,LightGBM,2024-03-31,1068.084289,811.3475481587154,256.7367408412845,256.7367408412845
1,6,LightGBM,2024-04-30,819.7981714,810.7894050689288,9.008766331071229,9.008766331071229
1,6,LightGBM,2024-05-31,785.1561058,780.234208726103,4.921897073896957,4.921897073896957
2,6,LightGBM,2023-12-31,1038.023498,769.2189096460562,268.8045883539438,268.8045883539438
2,6,LightGBM,2024-01-31,716.257886,763.4364846987266,-47.17859869872666,47.17859869872666
2,6,LightGBM,2024-02-29,813.968407,763.4364846987266,50.53192230127331,50.53192230127331
2,6,LightGBM,2024-03-31,971.7714255,754.6822223183744,217.08920318162552,217.08920318162552
2,6,LightGBM,2024-04-30,763.6624749,771.8095364526282,-8.147061552628202,8.147061552628202
2,6,LightGBM,2024-05-31,817.3517658999999,771.8095364526282,45.54222944737171,45.54222944737171
3,6,LightGBM,2023-12-31,1151.7833992,819.5514879612963,332.2319112387038,332.2319112387038
3,6,LightGBM,2024-01-31,845.1081423,724.6225881969885,120.48555410301151,120.48555410301151
3,6,LightGBM,2024-02-29,750.5984798,724.6225881969885,25.975891603011405,25.975891603011405
3,6,LightGBM,2024-03-31,823.5144856000001,724.1273296514913,99.38715594850873,99.38715594850873
3,6,LightGBM,2024-04-30,603.3620255000001,706.5919693564393,-103.22994385643926,103.22994385643926
3,6,LightGBM,2024-05-31,605.121396,588.465289697234,16.656106302766034,16.656106302766034
