SKU_ID,Lag_Period,Model,Date,Actual,Forecast,CI_Lower,CI_Upper,Error,Abs_Error
1,1,ARIMA,2024-05-31,785.1561058,857.0237388660091,763.9331681275675,950.1143096044508,-71.86763306600915,71.86763306600915
2,1,ARIMA,2024-05-31,817.3517658999999,836.6412148286419,701.6163599854851,971.6660696717986,-19.289448928641946,19.289448928641946
3,1,ARIMA,2024-05-31,605.121396,652.574114724892,552.0629709530862,753.0852584966977,-47.45271872489195,47.45271872489195
4,1,ARIMA,2024-05-31,898.7700419,902.3521962970217,741.116007340513,1063.5883852535303,-3.582154397021668,3.582154397021668
5,1,ARIMA,2024-05-31,789.5399907,818.5305268363791,720.7728258823066,916.2882277904515,-28.99053613637909,28.99053613637909
6,1,ARIMA,2024-05-31,0.0,0.0,0.0,103.65176233300427,0.0,0.0
7,1,ARIMA,2024-05-31,0.0,0.0,0.0,23.518871024185863,0.0,0.0
8,1,ARIMA,2024-05-31,772.3285901,824.2098063254545,703.9306080513286,944.4890045995803,-51.88121622545441,51.88121622545441
9,1,ARIMA,2024-05-31,763.3987228999999,824.1383651177678,715.5708531338785,932.705877101657,-60.73964221776782,60.73964221776782
10,1,ARIMA,2024-05-31,100.46723784,89.64979919045348,2.809961704746442,176.4896366761605,10.817438649546517,10.817438649546517
1,3,ARIMA,2024-03-31,1068.084289,886.36327524837,781.914885270079,990.8116652266609,181.72101375162993,181.72101375162993
1,3,ARIMA,2024-04-30,819.7981714,959.1306426739089,846.1554617987538,1072.105823549064,-139.33247127390894,139.33247127390894
1,3,ARIMA,2024-05-31,785.1561058,770.6258169373812,657.3973994613007,883.8542344134617,14.530288862618818,14.530288862618818
2,3,ARIMA,2024-03-31,971.7714255,896.9399702946084,760.9016683557027,1032.9782722335142,74.83145520539153,74.83145520539153
2,3,ARIMA,2024-04-30,763.6624749,832.338106651099,693.2960235230138,971.3801897791842,-68.67563175109899,68.67563175109899
2,3,ARIMA,2024-05-31,817.3517658999999,796.3955583143651,651.6653636839968,941.1257529447333,20.956207585634843,20.956207585634843
3,3,ARIMA,2024-03-31,823.5144856000001,756.9409206844699,644.1272029100636,869.7546384588762,66.57356491553014,66.57356491553014
3,3,ARIMA,2024-04-30,603.3620255000001,602.996121072495,475.7897814148487,730.2024607301414,0.36590442750502916,0.36590442750502916
3,3,ARIMA,2024-05-31,605.121396,619.9045552046807,480.6330205514643,759.1760898578971,-14.783159204680715,14.783159204680715
4,3,ARIMA,2024-03-31,1001.0203061,869.1481805459416,708.3475455245654,1029.9488155673178,131.87212555405836,131.87212555405836
4,3,ARIMA,2024-04-30,872.4965758000001,851.0160847929201,686.1601556681344,1015.8720139177058,21.48049100707999,21.48049100707999
4,3,ARIMA,2024-05-31,898.7700419,924.9736486537028,755.3210403756573,1094.6262569317482,-26.20360675370273,26.20360675370273
5,3,ARIMA,2024-03-31,962.9258588,909.6135719804679,810.8240638555375,1008.4030801053983,53.31228681953212,53.31228681953212
5,3,ARIMA,2024-04-30,784.1037487,811.9782961116467,709.4064026769603,914.5501895463332,-27.874547411646745,27.874547411646745
5,3,ARIMA,2024-05-31,789.5399907,798.4519834604158,691.3708664926476,905.5331004281841,-8.911992760415842,8.911992760415842
6,3,ARIMA,2024-03-31,0.0,0.0,0.0,87.84344482121163,0.0,0.0
6,3,ARIMA,2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0
6,3,ARIMA,2024-05-31,0.0,21.407430201821143,0.0,123.07626456370056,-21.407430201821143,21.407430201821143
7,3,ARIMA,2024-03-31,122.21253328,128.7675542580396,82.36189983245183,175.1732086836274,-6.555020978039607,6.555020978039607
7,3,ARIMA,2024-04-30,19.764062374,16.168747674398915,0.0,64.52249538596557,3.5953146996010865,3.5953146996010865
7,3,ARIMA,2024-05-31,0.0,0.0,0.0,26.32320567770941,0.0,0.0
8,3,ARIMA,2024-03-31,931.0711549,915.0513035152396,793.9693138393123,1036.1332931911668,16.019851384760386,16.019851384760386
8,3,ARIMA,2024-04-30,750.400746,835.0418817424124,712.5509325044058,957.5328309804191,-84.64113574241242,84.64113574241242
